;15;22;40
VAESTLR12016_v1_20677|ID:85467837|;-1,35492195121668;0;0
VAESTLR12016_v1_10399|ID:85464616|;-1,36287432632664;0;0
VAESTLR12016_v1_12639|ID:85466856|;-1,35899739040942;0;0
VAESTLR12016_v1_20694|ID:85467854|;-1,38166822677335;0;0
VAESTLR12016_v1_10370|ID:85464587|;-1,37720828090389;0;0
VAESTLR12016_v1_12469|ID:85466686|;-1,37056386180174;0;0
VAESTLR12016_v1_12920|ID:85467137|;-1,40594040301132;0;0
VAESTLR12016_v1_20371|ID:85467531|;-1,40433575860162;0;0
VAESTLR12016_v1_11679|ID:85465896|;-1,40995691840898;0;0
VAESTLR12016_v1_10154|ID:85464371|;-1,39674515019655;0;0
VAESTLR12016_v1_11592|ID:85465809|;-1,38898061782083;0;0
VAESTLR12016_v1_12909|ID:85467126|gmm|;-1,4256680503804;0;0
VAESTLR12016_v1_12168|ID:85466385|;-1,42515694360894;0;0
VAESTLR12016_v1_11945|ID:85466162|;-1,41847664657947;0;0
VAESTLR12016_v1_10819|ID:85465036|;-1,41431336857114;0;0
VAESTLR12016_v1_10681|ID:85464898|;-1,44455701426191;0;0
VAESTLR12016_v1_10374|ID:85464591|;-1,44045826831503;0;0
VAESTLR12016_v1_12504|ID:85466721|ftsL|;-1,45143215001425;0;0
VAESTLR12016_v1_20906|ID:85468066|;-1,49456100163729;0;0
VAESTLR12016_v1_11570|ID:85465787|;-1,49330943613357;0;0
VAESTLR12016_v1_10453|ID:85464670|tnsA|;-1,49709396883935;0;0
VAESTLR12016_v1_12526|ID:85466743|yqiB|;-1,48787317469308;0;0
VAESTLR12016_v1_20196|ID:85467356|;-1,48647067494838;0;0
VAESTLR12016_v1_20427|ID:85467587|;-1,47894780185454;0;0
VAESTLR12016_v1_12794|ID:85467011|;-1,47312066480618;0;0
VAESTLR12016_v1_12560|ID:85466777|;-1,52037574624783;0;0
VAESTLR12016_v1_11586|ID:85465803|;-1,51779150055735;0;0
VAESTLR12016_v1_20974|ID:85468134|;-1,52318289094213;0;0
VAESTLR12016_v1_11488|ID:85465705|;-1,50543454317403;0;0
VAESTLR12016_v1_10787|ID:85465004|;-1,5574146991952;0;0
VAESTLR12016_v1_21181|ID:85468341|;-1,55711956037347;0;0
VAESTLR12016_v1_11882|ID:85466099|;-1,55205017012864;0;0
VAESTLR12016_v1_21230|ID:85468390|ycdZ|;-1,53328152311876;0;0
VAESTLR12016_v1_11810|ID:85466027|;-1,52852422610395;0;0
VAESTLR12016_v1_11881|ID:85466098|;-1,53877360530234;0;0
VAESTLR12016_v1_10405|ID:85464622|;-1,59102070670647;0;0
VAESTLR12016_v1_10662|ID:85464879|;-1,58997152720185;0;0
VAESTLR12016_v1_11903|ID:85466120|;-1,58127555373373;0;0
VAESTLR12016_v1_12003|ID:85466220|;-1,61691818053269;0;0
VAESTLR12016_v1_20419|ID:85467579|lrp|;-1,6081504557668;0;0
VAESTLR12016_v1_11587|ID:85465804|;-1,46714018145456;0,366063430052306;0
VAESTLR12016_v1_10812|ID:85465029|;-1,14903456384053;0;0,619520546121608
VAESTLR12016_v1_10811|ID:85465028|yaeP|;-1,18201772554191;0;0,668541104861662
VAESTLR12016_v1_11153|ID:85465370|;-1,16693074291331;0;0,823074357994725
VAESTLR12016_v1_10696|ID:85464913|;-1,36827066277177;0;0,599942544857582
VAESTLR12016_v1_10803|ID:85465020|;-0,980608880808911;0;0
VAESTLR12016_v1_20844|ID:85468004|rhtB|;-0,980506391737439;0;0
VAESTLR12016_v1_11735|ID:85465952|;-0,981524794723552;0;0
VAESTLR12016_v1_10765|ID:85464982|;-0,982568899042364;0;0
VAESTLR12016_v1_30085|ID:85468513|gsiA|;-0,984704951979856;0;0
VAESTLR12016_v1_20518|ID:85467678|;-0,98429445633563;0;0
VAESTLR12016_v1_12431|ID:85466648|;-0,985644197209948;0;0
VAESTLR12016_v1_11045|ID:85465262|;-0,969279334732799;0;0
VAESTLR12016_v1_20404|ID:85467564|ogt|;-0,969233526401166;0;0
VAESTLR12016_v1_12360|ID:85466577|;-0,971189354155371;0;0
VAESTLR12016_v1_11097|ID:85465314|;-0,977543372405661;0;0
VAESTLR12016_v1_20156|ID:85467316|;-0,977178066919134;0;0
VAESTLR12016_v1_12524|ID:85466741|yqiA|;-0,961479593378108;0;0
VAESTLR12016_v1_20194|ID:85467354|;-0,961045214167699;0;0
VAESTLR12016_v1_11731|ID:85465948|;-0,959461699182189;0;0
VAESTLR12016_v1_10695|ID:85464912|;-0,957442141650086;0;0
VAESTLR12016_v1_11478|ID:85465695|;-0,964497580299778;0;0
VAESTLR12016_v1_12633|ID:85466850|holC|;-0,963451160303864;0;0
VAESTLR12016_v1_20536|ID:85467696|;-0,948664997169688;0;0
VAESTLR12016_v1_12597|ID:85466814|;-0,948420960972508;0;0
VAESTLR12016_v1_11911|ID:85466128|;-0,950476195393181;0;0
VAESTLR12016_v1_20412|ID:85467572|;-0,943198113770043;0;0
VAESTLR12016_v1_10297|ID:85464514|tusD|;-0,942568420369044;0;0
VAESTLR12016_v1_20726|ID:85467886|;-0,9417580491024;0;0
VAESTLR12016_v1_11154|ID:85465371|;-1,00896256138088;0;0
VAESTLR12016_v1_11237|ID:85465454|;-1,00808762146982;0;0
VAESTLR12016_v1_11357|ID:85465574|;-1,00631638293162;0;0
