;Cuivre;DVarS;Chelateur
VAESTLR12016_v1_11819|ID:85466036|;0;-0,814320868861659;0
VAESTLR12016_v1_12788|ID:85467005|;0;-0,813775076536376;0
VAESTLR12016_v1_12362|ID:85466579|rimK|;0;-0,59366385157104;0
VAESTLR12016_v1_11322|ID:85465539|sapC|;0;-0,592557497032642;0
VAESTLR12016_v1_20185|ID:85467345|gbpA|;0;-0,590340587504179;0
VAESTLR12016_v1_20265|ID:85467425|php|;0;-0,584533812614314;0
VAESTLR12016_v1_11269|ID:85465486|bpt|;0;-0,575666292357203;0
VAESTLR12016_v1_10367|ID:85464584|;0;-0,572138974346886;0
VAESTLR12016_v1_10364|ID:85464581|;0;-0,611594777446462;0
VAESTLR12016_v1_11838|ID:85466055|ydiJ|;0;-0,609740485574766;0
VAESTLR12016_v1_12242|ID:85466459|ushA|;0;-0,613650976842663;0
VAESTLR12016_v1_10037|ID:85464254|;0;-0,601298112519823;0
VAESTLR12016_v1_11646|ID:85465863|;0;-0,52740916667504;0
VAESTLR12016_v1_10365|ID:85464582|;0;-0,517584280750349;0
VAESTLR12016_v1_10278|ID:85464495|;0;-0,55209558704137;0
VAESTLR12016_v1_10623|ID:85464840|truB|;0;-0,467458422591815;0
VAESTLR12016_v1_12728|ID:85466945|purA|;0;-0,455352446380359;0
VAESTLR12016_v1_10001|ID:85464218|yhiN|;-0,802794181733964;-0,888642140507921;0
VAESTLR12016_v1_11656|ID:85465873|;-0,783657292167339;-0,868825088489236;0
VAESTLR12016_v1_11665|ID:85465882|;-0,832564256269422;-0,937685657437158;0
VAESTLR12016_v1_11682|ID:85465899|ugpC|;-0,744008417618678;-0,8498353718452;0
VAESTLR12016_v1_11300|ID:85465517|cmoA|;-0,709556637021978;-0,836625952378194;0
VAESTLR12016_v1_12101|ID:85466318|adhE|;-0,726287374629457;-0,932526725384782;0
VAESTLR12016_v1_11614|ID:85465831|;-1,00630748333307;-0,813869796151801;0
VAESTLR12016_v1_11240|ID:85465457|tfoX|;-0,620446788686933;-0,77250175537927;0
VAESTLR12016_v1_12717|ID:85466934|rplV|;-0,702639920018963;-0,654944698723918;0
VAESTLR12016_v1_10442|ID:85464659|pgk|;-0,516891862675251;-0,482580347618945;0
VAESTLR12016_v1_21134|ID:85468294|gcvH|;-1,39026228373995;-1,81137029330548;0
VAESTLR12016_v1_11353|ID:85465570|;-1,28952863082615;-1,77931747833466;0
VAESTLR12016_v1_20282|ID:85467442|empA|;-1,15888632424024;-1,81704896163129;0
VAESTLR12016_v1_20706|ID:85467866|;-1,15052417941604;-1,79433075223883;0
VAESTLR12016_v1_21138|ID:85468298|;-1,28341909356099;-1,59918527925944;0
VAESTLR12016_v1_11834|ID:85466051|hutU|;-1,24849021985213;-1,62007355402496;0
VAESTLR12016_v1_12435|ID:85466652|;-1,15733435491897;-1,65033058697284;0
VAESTLR12016_v1_20280|ID:85467440|;-1,39451793777512;-1,52218428767271;0
VAESTLR12016_v1_11113|ID:85465330|yeaH|;-0,950468561419268;-1,69532044794794;0
VAESTLR12016_v1_11630|ID:85465847|nudL|;-0,939445448024037;-1,66263167617944;0
VAESTLR12016_v1_12436|ID:85466653|;-0,942707891403597;-1,79627414406288;0
VAESTLR12016_v1_20333|ID:85467493|;-0,859344312847694;-1,58931327489407;0
VAESTLR12016_v1_12025|ID:85466242|;-0,810894479322533;-1,60006642904333;0
VAESTLR12016_v1_10900|ID:85465117|;-0,890784395139435;-1,53604647120716;0
VAESTLR12016_v1_20332|ID:85467492|deoD|;-0,726971703677251;-1,62399700402513;0
VAESTLR12016_v1_10636|ID:85464853|;-0,64095475367322;-1,64217260705216;0
VAESTLR12016_v1_11832|ID:85466049|hutI|;-1,10632349430724;-1,38531088769956;0
VAESTLR12016_v1_20043|ID:85467203|;-1,12330812999986;-1,36736456201802;0
VAESTLR12016_v1_20247|ID:85467407|;-1,06542232793589;-1,38698372602863;0
VAESTLR12016_v1_11835|ID:85466052|hutH|;-1,00814763653173;-1,39058907783206;0
VAESTLR12016_v1_10006|ID:85464223|bioP|;-1,26032273744153;-1,19593869905432;0
VAESTLR12016_v1_11833|ID:85466050|hutG|;-0,954649895530402;-1,17216465477295;0
VAESTLR12016_v1_10955|ID:85465172|;-0,939968240209393;-1,14064279736788;0
VAESTLR12016_v1_10002|ID:85464219|;-1,04126731545498;-1,17421525562517;0
VAESTLR12016_v1_20042|ID:85467202|napF|;-1,09132883419952;-1,06553301212597;0
VAESTLR12016_v1_10051|ID:85464268|ydhC|;-1,01374846235724;-0,996910943963635;0
VAESTLR12016_v1_20044|ID:85467204|napA|;-0,853841433878558;-1,12458204564397;0
VAESTLR12016_v1_12426|ID:85466643|;-0,787604261756882;-1,11442447438373;0
VAESTLR12016_v1_12569|ID:85466786|fau|;-0,795548840110859;-1,2211671528587;0
VAESTLR12016_v1_12361|ID:85466578|;-0,71860746371258;-1,05755137934987;0
VAESTLR12016_v1_21184|ID:85468344|;-0,617189966120755;-1,13449885628433;0
VAESTLR12016_v1_10674|ID:85464891|;-0,673120757922439;-1,28069145340044;0
VAESTLR12016_v1_20704|ID:85467864|;-0,642907353160321;-1,28441675278077;0
VAESTLR12016_v1_11314|ID:85465531|torA|;-0,768890449086559;-1,42078438656228;0
VAESTLR12016_v1_11114|ID:85465331|yeaG|;-0,792970826224792;-1,39298908174363;0
VAESTLR12016_v1_11381|ID:85465598|;-0,917227269980376;-1,32129114322431;0
VAESTLR12016_v1_30069|ID:85468497|rlmJ|;-0,772875286101021;0;0
VAESTLR12016_v1_10269|ID:85464486|rpoC|;-0,772772344271515;0;0
VAESTLR12016_v1_12147|ID:85466364|;-0,77325954416232;0;0
